edge_type:  EUC_2D
 Dimension: 100000 
Original Loss is:  991779712.000000 
Ending Temp: 0.000012 
 Loss | Temp | Iter | Time 
 918407296.000000 | 100000.000000 | 1 | 4.000000
 852251392.000000 | 99850.000000 | 2 | 8.000000
 793463296.000000 | 99700.226562 | 3 | 12.000000
 740275648.000000 | 99550.671875 | 4 | 17.000000
 692474304.000000 | 99401.343750 | 5 | 21.000000
 649252544.000000 | 99252.242188 | 6 | 25.000000
 610592192.000000 | 99103.359375 | 7 | 30.000000
 575096576.000000 | 98954.703125 | 8 | 34.000000
 542095808.000000 | 98806.273438 | 9 | 39.000000
 511972960.000000 | 98658.062500 | 10 | 43.000000
 483866976.000000 | 98510.078125 | 11 | 48.000000
 457563616.000000 | 98362.312500 | 12 | 52.000000
 433693408.000000 | 98214.765625 | 13 | 57.000000
 410938272.000000 | 98067.445312 | 14 | 62.000000
 389906560.000000 | 97920.343750 | 15 | 66.000000
 370250432.000000 | 97773.460938 | 16 | 70.000000
 351547616.000000 | 97626.796875 | 17 | 75.000000
 334140576.000000 | 97480.359375 | 18 | 79.000000
 317979936.000000 | 97334.140625 | 19 | 84.000000
 302624800.000000 | 97188.140625 | 20 | 88.000000
 288131552.000000 | 97042.359375 | 21 | 93.000000
 274577888.000000 | 96896.796875 | 22 | 97.000000
 261980464.000000 | 96751.453125 | 23 | 102.000000
 249681120.000000 | 96606.328125 | 24 | 106.000000
 238219968.000000 | 96461.414062 | 25 | 111.000000
 227606736.000000 | 96316.718750 | 26 | 115.000000
 217301072.000000 | 96172.242188 | 27 | 120.000000
 207666736.000000 | 96027.984375 | 28 | 124.000000
 198350624.000000 | 95883.937500 | 29 | 129.000000
 189716320.000000 | 95740.109375 | 30 | 133.000000
 181408128.000000 | 95596.500000 | 31 | 138.000000
 173700768.000000 | 95453.101562 | 32 | 142.000000
 166292720.000000 | 95309.921875 | 33 | 147.000000
 159312848.000000 | 95166.953125 | 34 | 151.000000
 152605664.000000 | 95024.203125 | 35 | 156.000000
 146279280.000000 | 94881.664062 | 36 | 160.000000
 140128864.000000 | 94739.343750 | 37 | 165.000000
 134383760.000000 | 94597.234375 | 38 | 169.000000
 128690392.000000 | 94455.335938 | 39 | 173.000000
 123535984.000000 | 94313.648438 | 40 | 178.000000
 118717392.000000 | 94172.179688 | 41 | 182.000000
 114141840.000000 | 94030.921875 | 42 | 187.000000
 109557272.000000 | 93889.875000 | 43 | 191.000000
 105199880.000000 | 93749.039062 | 44 | 196.000000
 101069920.000000 | 93608.414062 | 45 | 200.000000
 97470080.000000 | 93468.000000 | 46 | 205.000000
 93618672.000000 | 93327.796875 | 47 | 209.000000
 90251576.000000 | 93187.804688 | 48 | 213.000000
 86740576.000000 | 93048.023438 | 49 | 218.000000
 83474656.000000 | 92908.453125 | 50 | 222.000000
 80561256.000000 | 92769.085938 | 51 | 227.000000
 77765288.000000 | 92629.929688 | 52 | 231.000000
 75034200.000000 | 92490.984375 | 53 | 236.000000
 72453184.000000 | 92352.250000 | 54 | 240.000000
 70243400.000000 | 92213.718750 | 55 | 245.000000
 67873056.000000 | 92075.398438 | 56 | 249.000000
 65648808.000000 | 91937.281250 | 57 | 253.000000
 63441924.000000 | 91799.375000 | 58 | 258.000000
 61464716.000000 | 91661.671875 | 59 | 262.000000
 59491832.000000 | 91524.179688 | 60 | 267.000000
 57846068.000000 | 91386.890625 | 61 | 271.000000
 56265128.000000 | 91249.812500 | 62 | 276.000000
 54635360.000000 | 91112.937500 | 63 | 280.000000
 53101664.000000 | 90976.265625 | 64 | 284.000000
 51342980.000000 | 90839.796875 | 65 | 289.000000
 49876908.000000 | 90703.539062 | 66 | 293.000000
 48710948.000000 | 90567.484375 | 67 | 298.000000
 47525656.000000 | 90431.632812 | 68 | 302.000000
 46410852.000000 | 90295.984375 | 69 | 307.000000
 45253144.000000 | 90160.539062 | 70 | 311.000000
 44429772.000000 | 90025.296875 | 71 | 316.000000
 43569372.000000 | 89890.257812 | 72 | 320.000000
 42511752.000000 | 89755.421875 | 73 | 325.000000
 41551096.000000 | 89620.789062 | 74 | 329.000000
 41142968.000000 | 89486.359375 | 75 | 333.000000
 40120116.000000 | 89352.125000 | 76 | 338.000000
 39517340.000000 | 89218.093750 | 77 | 342.000000
 38835808.000000 | 89084.265625 | 78 | 347.000000
 37915172.000000 | 88950.640625 | 79 | 351.000000
 37407312.000000 | 88817.210938 | 80 | 356.000000
 36566528.000000 | 88683.984375 | 81 | 360.000000
 36052080.000000 | 88550.960938 | 82 | 365.000000
 35551772.000000 | 88418.132812 | 83 | 369.000000
 35015424.000000 | 88285.507812 | 84 | 373.000000
 34472836.000000 | 88153.078125 | 85 | 378.000000
 34212692.000000 | 88020.843750 | 86 | 382.000000
 33889080.000000 | 87888.812500 | 87 | 387.000000
 33431902.000000 | 87756.976562 | 88 | 391.000000
 32797398.000000 | 87625.343750 | 89 | 396.000000
 32462988.000000 | 87493.906250 | 90 | 400.000000
 32161882.000000 | 87362.664062 | 91 | 405.000000
 31899958.000000 | 87231.617188 | 92 | 409.000000
 31535096.000000 | 87100.765625 | 93 | 414.000000
 31201692.000000 | 86970.117188 | 94 | 418.000000
 30984940.000000 | 86839.664062 | 95 | 422.000000
 30800056.000000 | 86709.406250 | 96 | 427.000000
 30512220.000000 | 86579.343750 | 97 | 431.000000
 30368204.000000 | 86449.476562 | 98 | 436.000000
 30285678.000000 | 86319.804688 | 99 | 440.000000
 30130702.000000 | 86190.320312 | 100 | 445.000000
 30320782.000000 | 86061.031250 | 101 | 449.000000
 30389656.000000 | 85931.937500 | 102 | 454.000000
 29903340.000000 | 85803.039062 | 103 | 458.000000
 29931956.000000 | 85674.335938 | 104 | 463.000000
 29742216.000000 | 85545.820312 | 105 | 467.000000
 29461042.000000 | 85417.500000 | 106 | 471.000000
 29366938.000000 | 85289.375000 | 107 | 476.000000
 29452852.000000 | 85161.437500 | 108 | 480.000000
 29387434.000000 | 85033.695312 | 109 | 485.000000
 29040514.000000 | 84906.140625 | 110 | 489.000000
 28994578.000000 | 84778.781250 | 111 | 494.000000
 28956114.000000 | 84651.609375 | 112 | 498.000000
 28714602.000000 | 84524.632812 | 113 | 503.000000
 28641346.000000 | 84397.843750 | 114 | 507.000000
 28598546.000000 | 84271.250000 | 115 | 512.000000
 28441550.000000 | 84144.843750 | 116 | 516.000000
 28445866.000000 | 84018.625000 | 117 | 521.000000
 28247122.000000 | 83892.593750 | 118 | 525.000000
 28172142.000000 | 83766.757812 | 119 | 530.000000
 28018094.000000 | 83641.109375 | 120 | 534.000000
 28239562.000000 | 83515.648438 | 121 | 539.000000
 28139038.000000 | 83390.375000 | 122 | 543.000000
 28033486.000000 | 83265.289062 | 123 | 547.000000
 28222058.000000 | 83140.390625 | 124 | 552.000000
 28103296.000000 | 83015.679688 | 125 | 556.000000
 28109560.000000 | 82891.156250 | 126 | 561.000000
 28325432.000000 | 82766.820312 | 127 | 565.000000
 28216922.000000 | 82642.671875 | 128 | 570.000000
 28053186.000000 | 82518.703125 | 129 | 574.000000
 28094548.000000 | 82394.921875 | 130 | 579.000000
 27854572.000000 | 82271.328125 | 131 | 583.000000
 27851116.000000 | 82147.921875 | 132 | 588.000000
 27955376.000000 | 82024.695312 | 133 | 592.000000
 27792044.000000 | 81901.656250 | 134 | 596.000000
 27639736.000000 | 81778.804688 | 135 | 601.000000
 27564388.000000 | 81656.132812 | 136 | 605.000000
 27641642.000000 | 81533.648438 | 137 | 610.000000
 27732668.000000 | 81411.343750 | 138 | 614.000000
 27587100.000000 | 81289.226562 | 139 | 619.000000
 27610766.000000 | 81167.289062 | 140 | 623.000000
 27575296.000000 | 81045.539062 | 141 | 628.000000
 27458860.000000 | 80923.968750 | 142 | 632.000000
 27000924.000000 | 80802.578125 | 143 | 637.000000
 27339380.000000 | 80681.375000 | 144 | 641.000000
 27319614.000000 | 80560.351562 | 145 | 645.000000
 27603630.000000 | 80439.507812 | 146 | 650.000000
 27265360.000000 | 80318.851562 | 147 | 654.000000
 27192586.000000 | 80198.375000 | 148 | 659.000000
 27024402.000000 | 80078.078125 | 149 | 663.000000
 27034212.000000 | 79957.960938 | 150 | 668.000000
 27329070.000000 | 79838.023438 | 151 | 672.000000
 27618932.000000 | 79718.265625 | 152 | 677.000000
 27218368.000000 | 79598.687500 | 153 | 681.000000
 27402856.000000 | 79479.289062 | 154 | 686.000000
 27325106.000000 | 79360.070312 | 155 | 690.000000
 27288920.000000 | 79241.031250 | 156 | 695.000000
 27468412.000000 | 79122.171875 | 157 | 699.000000
 27227024.000000 | 79003.484375 | 158 | 704.000000
 27166592.000000 | 78884.976562 | 159 | 708.000000
 27159068.000000 | 78766.648438 | 160 | 713.000000
 27041098.000000 | 78648.500000 | 161 | 717.000000
 27034740.000000 | 78530.523438 | 162 | 722.000000
 27008754.000000 | 78412.726562 | 163 | 726.000000
 26940734.000000 | 78295.109375 | 164 | 731.000000
 27104920.000000 | 78177.664062 | 165 | 735.000000
 27041340.000000 | 78060.398438 | 166 | 739.000000
 26965098.000000 | 77943.304688 | 167 | 744.000000
 27182778.000000 | 77826.390625 | 168 | 748.000000
 27055110.000000 | 77709.648438 | 169 | 753.000000
 27078458.000000 | 77593.085938 | 170 | 757.000000
 27305040.000000 | 77476.695312 | 171 | 762.000000
 27200792.000000 | 77360.476562 | 172 | 766.000000
 27131698.000000 | 77244.437500 | 173 | 771.000000
 27212612.000000 | 77128.570312 | 174 | 775.000000
 27135364.000000 | 77012.875000 | 175 | 780.000000
 27118142.000000 | 76897.351562 | 176 | 784.000000
 26931486.000000 | 76782.007812 | 177 | 788.000000
 26974310.000000 | 76666.835938 | 178 | 793.000000
 27139882.000000 | 76551.835938 | 179 | 797.000000
 27001562.000000 | 76437.007812 | 180 | 802.000000
 27113658.000000 | 76322.351562 | 181 | 806.000000
 26916640.000000 | 76207.867188 | 182 | 811.000000
 27031902.000000 | 76093.554688 | 183 | 815.000000
 26926712.000000 | 75979.414062 | 184 | 820.000000
 27030564.000000 | 75865.445312 | 185 | 824.000000
 27051896.000000 | 75751.648438 | 186 | 829.000000
 27021408.000000 | 75638.023438 | 187 | 833.000000
 26915816.000000 | 75524.562500 | 188 | 837.000000
 27232126.000000 | 75411.273438 | 189 | 842.000000
 27233666.000000 | 75298.156250 | 190 | 846.000000
 27349676.000000 | 75185.210938 | 191 | 851.000000
 27243754.000000 | 75072.429688 | 192 | 855.000000
 27178094.000000 | 74959.820312 | 193 | 860.000000
 27160632.000000 | 74847.382812 | 194 | 864.000000
 27116130.000000 | 74735.109375 | 195 | 869.000000
 26934756.000000 | 74623.007812 | 196 | 873.000000
 27076210.000000 | 74511.070312 | 197 | 877.000000
 27205902.000000 | 74399.304688 | 198 | 882.000000
 27068980.000000 | 74287.703125 | 199 | 886.000000
 27027608.000000 | 74176.273438 | 200 | 891.000000
 27470776.000000 | 74065.007812 | 201 | 895.000000
 27207702.000000 | 73953.906250 | 202 | 900.000000
 27151130.000000 | 73842.976562 | 203 | 904.000000
