edge_type:  EUC_2D
 Dimension: 140000 
Original Loss is:  1371352704.000000 
Ending Temp: 0.000012 
 Loss | Temp | Iter | Time 
 1296638592.000000 | 100000.000000 | 1 | 4.000000
 1227825408.000000 | 99850.000000 | 2 | 9.000000
 1165998592.000000 | 99700.226562 | 3 | 14.000000
 1107044608.000000 | 99550.671875 | 4 | 19.000000
 1054103808.000000 | 99401.343750 | 5 | 24.000000
 1004603840.000000 | 99252.242188 | 6 | 29.000000
 958545856.000000 | 99103.359375 | 7 | 35.000000
 913807040.000000 | 98954.703125 | 8 | 40.000000
 873557696.000000 | 98806.273438 | 9 | 45.000000
 835666432.000000 | 98658.062500 | 10 | 50.000000
 800219968.000000 | 98510.078125 | 11 | 55.000000
 766359296.000000 | 98362.312500 | 12 | 60.000000
 734415360.000000 | 98214.765625 | 13 | 66.000000
 704673472.000000 | 98067.445312 | 14 | 71.000000
 677041408.000000 | 97920.343750 | 15 | 76.000000
 650964352.000000 | 97773.460938 | 16 | 81.000000
 625476096.000000 | 97626.796875 | 17 | 86.000000
 601922496.000000 | 97480.359375 | 18 | 91.000000
 579173440.000000 | 97334.140625 | 19 | 97.000000
 557743232.000000 | 97188.140625 | 20 | 102.000000
 537495424.000000 | 97042.359375 | 21 | 107.000000
 517999840.000000 | 96896.796875 | 22 | 112.000000
 499173728.000000 | 96751.453125 | 23 | 117.000000
 481146848.000000 | 96606.328125 | 24 | 123.000000
 464181824.000000 | 96461.414062 | 25 | 128.000000
 448330976.000000 | 96316.718750 | 26 | 133.000000
 432794208.000000 | 96172.242188 | 27 | 138.000000
 417914528.000000 | 96027.984375 | 28 | 143.000000
 403828576.000000 | 95883.937500 | 29 | 149.000000
 390208672.000000 | 95740.109375 | 30 | 154.000000
 377030432.000000 | 95596.500000 | 31 | 159.000000
 364584320.000000 | 95453.101562 | 32 | 164.000000
 352229536.000000 | 95309.921875 | 33 | 169.000000
 340666816.000000 | 95166.953125 | 34 | 175.000000
 329540832.000000 | 95024.203125 | 35 | 180.000000
 318831712.000000 | 94881.664062 | 36 | 185.000000
 308754112.000000 | 94739.343750 | 37 | 190.000000
 298819904.000000 | 94597.234375 | 38 | 195.000000
 289341152.000000 | 94455.335938 | 39 | 201.000000
 280198080.000000 | 94313.648438 | 40 | 206.000000
 271233184.000000 | 94172.179688 | 41 | 211.000000
 262782112.000000 | 94030.921875 | 42 | 216.000000
 254650352.000000 | 93889.875000 | 43 | 221.000000
 246735552.000000 | 93749.039062 | 44 | 227.000000
 239185536.000000 | 93608.414062 | 45 | 232.000000
 231792592.000000 | 93468.000000 | 46 | 237.000000
 224595376.000000 | 93327.796875 | 47 | 242.000000
 217550912.000000 | 93187.804688 | 48 | 248.000000
 210947664.000000 | 93048.023438 | 49 | 253.000000
 204586448.000000 | 92908.453125 | 50 | 258.000000
 198519632.000000 | 92769.085938 | 51 | 263.000000
 192749440.000000 | 92629.929688 | 52 | 269.000000
 187072480.000000 | 92490.984375 | 53 | 274.000000
 181418512.000000 | 92352.250000 | 54 | 279.000000
 176267792.000000 | 92213.718750 | 55 | 284.000000
 171283408.000000 | 92075.398438 | 56 | 290.000000
 166192816.000000 | 91937.281250 | 57 | 295.000000
 161397024.000000 | 91799.375000 | 58 | 300.000000
 156746592.000000 | 91661.671875 | 59 | 305.000000
 152403008.000000 | 91524.179688 | 60 | 310.000000
 148150304.000000 | 91386.890625 | 61 | 316.000000
 143926896.000000 | 91249.812500 | 62 | 321.000000
 140021920.000000 | 91112.937500 | 63 | 326.000000
 136067328.000000 | 90976.265625 | 64 | 331.000000
 132363616.000000 | 90839.796875 | 65 | 337.000000
 128707008.000000 | 90703.539062 | 66 | 342.000000
 125300560.000000 | 90567.484375 | 67 | 347.000000
 121963272.000000 | 90431.632812 | 68 | 352.000000
 118660704.000000 | 90295.984375 | 69 | 358.000000
 115735496.000000 | 90160.539062 | 70 | 363.000000
 112675464.000000 | 90025.296875 | 71 | 368.000000
 109870760.000000 | 89890.257812 | 72 | 373.000000
 107101088.000000 | 89755.421875 | 73 | 379.000000
 104538560.000000 | 89620.789062 | 74 | 384.000000
 101953088.000000 | 89486.359375 | 75 | 389.000000
 99411576.000000 | 89352.125000 | 76 | 394.000000
 96972248.000000 | 89218.093750 | 77 | 399.000000
 94723976.000000 | 89084.265625 | 78 | 405.000000
 92505760.000000 | 88950.640625 | 79 | 410.000000
