location, coordinate_x, coordinate_y 
53, 165900.000000, 55.000000 
370, 204264.000000, 372.000000 
698, 250661.000000, 700.000000 
527, 289768.000000, 529.000000 
576, 329993.000000, 578.000000 
583, 368808.000000, 585.000000 
363, 410703.000000, 365.000000 
689, 447163.000000, 691.000000 
694, 484559.000000, 696.000000 
727, 519341.000000, 729.000000 
154, 555164.000000, 156.000000 
534, 585671.000000, 536.000000 
513, 621822.000000, 515.000000 
572, 652050.000000, 574.000000 
6, 667632.000000, 8.000000 
277, 669849.000000, 279.000000 
174, 667734.000000, 176.000000 
181, 658894.000000, 183.000000 
188, 638626.000000, 190.000000 
84, 609181.000000, 86.000000 
650, 581702.000000, 652.000000 
523, 559791.000000, 525.000000 
426, 538562.000000, 428.000000 
22, 527050.000000, 24.000000 
76, 521789.000000, 78.000000 
816, 518526.000000, 818.000000 
719, 515507.000000, 721.000000 
755, 512772.000000, 757.000000 
348, 512705.000000, 350.000000 
891, 511932.000000, 893.000000 
280, 506855.000000, 282.000000 
679, 500142.000000, 681.000000 
633, 490832.000000, 635.000000 
477, 481141.000000, 479.000000 
929, 474725.000000, 931.000000 
665, 468722.000000, 667.000000 
531, 460315.000000, 533.000000 
504, 445657.000000, 506.000000 
989, 434347.000000, 991.000000 
994, 414015.000000, 996.000000 
964, 394219.000000, 966.000000 
840, 371290.000000, 842.000000 
918, 352400.000000, 920.000000 
304, 331130.000000, 306.000000 
731, 308739.000000, 733.000000 
512, 286287.000000, 514.000000 
932, 264380.000000, 934.000000 
470, 242729.000000, 472.000000 
544, 212670.000000, 546.000000 
364, 188306.000000, 366.000000 
69, 160110.000000, 71.000000 
949, 133612.000000, 951.000000 
462, 112130.000000, 464.000000 
166, 88190.000000, 168.000000 
798, 68606.000000, 800.000000 
219, 51021.000000, 221.000000 
356, 30503.000000, 358.000000 
469, 18033.000000, 471.000000 
505, 11796.000000, 507.000000 
886, 4843.000000, 888.000000 
690, -7619.000000, 692.000000 
327, -22935.000000, 329.000000 
714, -28096.000000, 716.000000 
568, -50553.000000, 570.000000 
1, -42453.000000, 3.000000 
3, -96645.000000, 5.000000 
401, -26033.000000, 403.000000 
64, -838.000000, 66.000000 
605, 7413.000000, 607.000000 
955, 7553.000000, 957.000000 
486, 9502.000000, 488.000000 
617, 11902.000000, 619.000000 
982, 13000.000000, 984.000000 
627, 15006.000000, 629.000000 
911, 17170.000000, 913.000000 
257, 17631.000000, 259.000000 
233, 17474.000000, 235.000000 
946, 20767.000000, 948.000000 
668, 24432.000000, 670.000000 
468, 26164.000000, 470.000000 
150, 26652.000000, 152.000000 
928, 36705.000000, 930.000000 
802, 47268.000000, 804.000000 
52, 58331.000000, 54.000000 
393, 77788.000000, 395.000000 
91, 102274.000000, 93.000000 
109, 123029.000000, 111.000000 
287, 154408.000000, 289.000000 
293, 180641.000000, 295.000000 
72, 212619.000000, 74.000000 
753, 246717.000000, 755.000000 
769, 273310.000000, 771.000000 
497, 297596.000000, 499.000000 
367, 318790.000000, 369.000000 
501, 338061.000000, 503.000000 
548, 361020.000000, 550.000000 
30, 384774.000000, 32.000000 
410, 401742.000000, 412.000000 
509, 418253.000000, 511.000000 
942, 435846.000000, 944.000000 
82, 446051.000000, 84.000000 
42, 458332.000000, 44.000000 
746, 461786.000000, 748.000000 
526, 464113.000000, 528.000000 
63, 459916.000000, 65.000000 
335, 451426.000000, 337.000000 
121, 443621.000000, 123.000000 
311, 432460.000000, 313.000000 
810, 414478.000000, 812.000000 
762, 399150.000000, 764.000000 
695, 388059.000000, 697.000000 
997, 374534.000000, 999.000000 
528, 360371.000000, 530.000000 
478, 345756.000000, 480.000000 
78, 332544.000000, 80.000000 
659, 322399.000000, 661.000000 
248, 310233.000000, 250.000000 
663, 301528.000000, 665.000000 
226, 290024.000000, 228.000000 
321, 281154.000000, 323.000000 
296, 277676.000000, 298.000000 
58, 277543.000000, 60.000000 
693, 276266.000000, 695.000000 
518, 277715.000000, 520.000000 
65, 283893.000000, 67.000000 
260, 290039.000000, 262.000000 
660, 300369.000000, 662.000000 
330, 307643.000000, 332.000000 
657, 315703.000000, 659.000000 
23, 326684.000000, 25.000000 
