location,coordinate_x,coordinate_y
0,13799.000000,13821.000000
18273,14067.000000,14030.000000
18275,14067.000000,14131.000000
33112,14320.000000,14215.000000
32908,14318.000000,14253.000000
35447,14342.000000,14253.000000
35449,14342.000000,14262.000000
35739,14345.000000,14276.000000
35128,14339.000000,14283.000000
33856,14327.000000,14277.000000
35029,14338.000000,14270.000000
36061,14348.000000,14266.000000
37323,14361.000000,14264.000000
38282,14372.000000,14263.000000
40247,14393.000000,14238.000000
41497,14405.000000,14264.000000
37841,14367.000000,14286.000000
36273,14350.000000,14277.000000
35454,14342.000000,14289.000000
37488,14363.000000,14311.000000
35556,14343.000000,14331.000000
37076,14358.000000,14373.000000
36764,14355.000000,14378.000000
37410,14362.000000,14390.000000
36672,14354.000000,14395.000000
35866,14346.000000,14408.000000
32174,14310.000000,14414.000000
31968,14308.000000,14422.000000
32665,14315.000000,14451.000000
34509,14333.000000,14446.000000
36285,14350.000000,14421.000000
35961,14347.000000,14402.000000
36070,14348.000000,14390.000000
35137,14339.000000,14379.000000
35248,14340.000000,14373.000000
36864,14356.000000,14358.000000
39198,14382.000000,14359.000000
42374,14414.000000,14345.000000
43974,14429.000000,14360.000000
43277,14422.000000,14341.000000
43646,14425.000000,14307.000000
45610,14447.000000,14297.000000
61781,14757.000000,14332.000000
64486,14788.000000,14386.000000
63328,14776.000000,14494.000000
64704,14790.000000,14546.000000
65316,14796.000000,14612.000000
63626,14779.000000,14660.000000
62357,14765.000000,14667.000000
63066,14773.000000,14710.000000
63937,14782.000000,14732.000000
61233,14750.000000,14790.000000
59398,14710.000000,14766.000000
58381,14688.000000,14766.000000
56758,14657.000000,14775.000000
55387,14630.000000,14781.000000
54560,14613.000000,14768.000000
55293,14628.000000,14783.000000
54960,14621.000000,14799.000000
53884,14598.000000,14762.000000
53180,14585.000000,14763.000000
52840,14579.000000,14768.000000
51796,14557.000000,14781.000000
51797,14557.000000,14787.000000
50383,14529.000000,14772.000000
50788,14537.000000,14756.000000
47568,14472.000000,14718.000000
45233,14442.000000,14690.000000
43990,14429.000000,14696.000000
40878,14399.000000,14637.000000
40168,14392.000000,14639.000000
41310,14403.000000,14625.000000
40163,14392.000000,14599.000000
35768,14345.000000,14594.000000
