location,coordinate_x,coordinate_y
0,8699.000000,17181.000000
55357,9252.000000,16821.000000
87884,9482.000000,16722.000000
72096,9489.000000,17164.000000
14173,9392.000000,17002.000000
33564,9530.000000,17173.000000
26076,9460.000000,17235.000000
1670,9458.000000,17271.000000
71054,9490.000000,17289.000000
67863,9495.000000,17360.000000
5545,9435.000000,17508.000000
41096,9463.000000,17434.000000
48605,9567.000000,17400.000000
51805,9682.000000,17246.000000
44689,9745.000000,17109.000000
71583,9718.000000,17376.000000
53623,9679.000000,17374.000000
55833,9762.000000,17437.000000
21726,9776.000000,17397.000000
39431,9793.000000,17427.000000
30643,9875.000000,17442.000000
13091,9926.000000,17602.000000
5736,9905.000000,17435.000000
31195,9941.000000,17363.000000
37172,9884.000000,17365.000000
107688,9941.000000,17314.000000
96084,10056.000000,17396.000000
59412,10085.000000,17492.000000
114618,10120.000000,17612.000000
9434,10058.000000,17644.000000
56373,10183.000000,17707.000000
66241,10238.000000,17751.000000
52723,10148.000000,17884.000000
42840,10112.000000,18007.000000
111885,10095.000000,18085.000000
14646,10087.000000,18165.000000
75610,10052.000000,18288.000000
103901,9958.000000,18236.000000
22707,9951.000000,18305.000000
99410,9899.000000,18243.000000
29809,9826.000000,18131.000000
51708,9742.000000,18156.000000
44818,9761.000000,18199.000000
61274,9869.000000,18269.000000
70174,9892.000000,18338.000000
20549,9762.000000,18406.000000
22182,9793.000000,18357.000000
51065,9885.000000,18369.000000
86695,9954.000000,18340.000000
115733,10003.000000,18382.000000
34771,9991.000000,18446.000000
56698,9911.000000,18613.000000
35135,10051.000000,18891.000000
65599,10164.000000,18896.000000
55779,10065.000000,18816.000000
117750,10087.000000,18507.000000
84567,10263.000000,18421.000000
79150,10350.000000,18646.000000
64659,10437.000000,18378.000000
59698,10421.000000,18407.000000
39816,10452.000000,18506.000000
34084,10364.000000,18503.000000
9186,10519.000000,18313.000000
97686,10590.000000,18315.000000
107779,10582.000000,18255.000000
26276,10607.000000,18240.000000
114519,10714.000000,18198.000000
21920,10854.000000,18301.000000
100378,10747.000000,18200.000000
42447,10700.000000,18414.000000
32190,10741.000000,18574.000000
61811,10965.000000,18593.000000
102880,11177.000000,18597.000000
71392,11247.000000,18553.000000
69115,11498.000000,18607.000000
57544,11533.000000,18516.000000
16938,11584.000000,18534.000000
64676,11614.000000,18582.000000
32350,11821.000000,18544.000000
86273,12039.000000,18371.000000
22237,11934.000000,18476.000000
97236,11755.000000,18489.000000
3995,11671.000000,18385.000000
33402,11507.000000,18240.000000
56117,11414.000000,18254.000000
78074,11406.000000,18087.000000
64990,11541.000000,18044.000000
90541,11494.000000,17781.000000
108334,11569.000000,17764.000000
36850,11618.000000,17643.000000
37347,11581.000000,17586.000000
19600,11521.000000,17697.000000
5950,11435.000000,17486.000000
62749,11533.000000,17284.000000
28469,11587.000000,17288.000000
90615,11719.000000,17391.000000
115723,11808.000000,17409.000000
107302,11774.000000,17388.000000
81159,11743.000000,17276.000000
42572,11846.000000,17314.000000
64963,11793.000000,17185.000000
63425,11803.000000,17111.000000
64504,11662.000000,17192.000000
106489,11569.000000,17244.000000
25042,11489.000000,17279.000000
72870,11415.000000,17141.000000
75261,11371.000000,16865.000000
105079,11120.000000,16864.000000
64657,11029.000000,16962.000000
8804,11161.000000,17002.000000
78161,11208.000000,17144.000000
75145,11289.000000,17246.000000
56852,11244.000000,17359.000000
87672,11346.000000,17383.000000
22165,11146.000000,17486.000000
36990,11041.000000,17312.000000
58553,10897.000000,17159.000000
37414,10883.000000,16992.000000
105952,10612.000000,16963.000000
10839,10349.000000,17209.000000
1069,10492.000000,17416.000000
23426,10409.000000,17441.000000
83950,10348.000000,17516.000000
46000,10336.000000,17557.000000
39068,10191.000000,17745.000000
106144,10296.000000,17796.000000
52033,10427.000000,17697.000000
40797,10453.000000,17664.000000
97725,10562.000000,17639.000000
67518,10710.000000,17612.000000
81276,10642.000000,17598.000000
50346,10570.000000,17743.000000
100340,10524.000000,17758.000000
69797,10457.000000,17817.000000
38092,10488.000000,17936.000000
28351,10691.000000,17910.000000
100589,10725.000000,17938.000000
33429,10763.000000,17952.000000
105649,10856.000000,17942.000000
47229,10899.000000,17941.000000
179,10909.000000,17874.000000
105957,10887.000000,17846.000000
15163,10862.000000,17748.000000
60475,10845.000000,17678.000000
65663,10745.000000,17640.000000
73679,10736.000000,17553.000000
110465,10782.000000,17538.000000
117164,10810.000000,17604.000000
12562,10852.000000,17607.000000
8504,10903.000000,17470.000000
96117,10868.000000,17375.000000
6637,10942.000000,17360.000000
20995,11038.000000,17522.000000
66311,11067.000000,17622.000000
50323,11177.000000,17622.000000
48443,11271.000000,17927.000000
27880,11085.000000,17786.000000
77129,11182.000000,17984.000000
51999,11047.000000,17871.000000
16207,10963.000000,17800.000000
93476,10940.000000,17909.000000
44930,10916.000000,17976.000000
39329,10790.000000,17981.000000
26075,10752.000000,17992.000000
38161,10680.000000,18033.000000
13698,10646.000000,18055.000000
36346,10761.000000,18136.000000
55990,10828.000000,18181.000000
82323,10797.000000,18164.000000
77853,10625.000000,18129.000000
29006,10601.000000,18187.000000
106113,10594.000000,18217.000000
44757,10491.000000,18170.000000
44565,10473.000000,18130.000000
21828,10521.000000,18148.000000
15391,10603.000000,18106.000000
76767,10610.000000,18067.000000
41421,10497.000000,18034.000000
1074,10389.000000,17989.000000
51460,10312.000000,17999.000000
56747,10369.000000,17955.000000
91702,10416.000000,17897.000000
25139,10379.000000,17915.000000
74758,10263.000000,17884.000000
26176,10153.000000,17776.000000
16199,10093.000000,17820.000000
47905,10077.000000,17741.000000
83683,10048.000000,17821.000000
34325,9994.000000,17904.000000
99426,9998.000000,17997.000000
50027,9982.000000,18031.000000
77201,9878.000000,18074.000000
22975,9856.000000,18151.000000
12596,9897.000000,18202.000000
114918,10034.000000,18249.000000
110182,10102.000000,18328.000000
96152,10120.000000,18293.000000
83292,10140.000000,18337.000000
89239,10157.000000,18280.000000
48899,10201.000000,18243.000000
31910,10201.000000,18178.000000
115633,10127.000000,18150.000000
70915,10181.000000,18038.000000
97746,10175.000000,17958.000000
24224,10208.000000,18062.000000
80338,10237.000000,18089.000000
80519,10260.000000,18154.000000
73493,10282.000000,18078.000000
115383,10342.000000,18030.000000
56498,10433.000000,18096.000000
70078,10461.000000,18163.000000
13173,10481.000000,18201.000000
100947,10519.000000,18239.000000
3557,10487.000000,18240.000000
10769,10421.000000,18324.000000
110799,10531.000000,18403.000000
16819,10572.000000,18479.000000
71338,10532.000000,18441.000000
114255,10609.000000,18344.000000
43399,10760.000000,18300.000000
23925,10744.000000,18483.000000
61689,10873.000000,18567.000000
73543,10919.000000,18586.000000
60323,10786.000000,18583.000000
34464,10703.000000,18605.000000
45921,10688.000000,18647.000000
56354,10510.000000,18620.000000
19082,10446.000000,18585.000000
98839,10389.000000,18537.000000
100021,10426.000000,18523.000000
57304,10403.000000,18498.000000
59137,10385.000000,18472.000000
23563,10338.000000,18418.000000
49145,10219.000000,18420.000000
84355,10213.000000,18457.000000
99786,10244.000000,18561.000000
36841,10225.000000,18586.000000
41037,10177.000000,18580.000000
46426,10151.000000,18652.000000
103459,10103.000000,18587.000000
58480,10067.000000,18599.000000
23658,10046.000000,18492.000000
43809,10146.000000,18458.000000
30257,10183.000000,18439.000000
64064,10123.000000,18362.000000
111709,10167.000000,18415.000000
81645,10190.000000,18393.000000
110172,10183.000000,18300.000000
111311,10066.000000,18322.000000
48971,10000.000000,18249.000000
44267,9991.000000,18085.000000
95578,10060.000000,18110.000000
22533,10028.000000,18016.000000
63733,9941.000000,18047.000000
46735,9863.000000,18112.000000
18066,9778.000000,18020.000000
21792,9744.000000,17986.000000
119895,9707.000000,17994.000000
46947,9733.000000,18025.000000
88713,9697.000000,18045.000000
10746,9558.000000,17958.000000
30251,9587.000000,18151.000000
115663,9479.000000,18017.000000
40354,9530.000000,17880.000000
82374,9591.000000,17912.000000
66349,9610.000000,17938.000000
8906,9677.000000,17829.000000
84334,9765.000000,17855.000000
94133,9753.000000,17953.000000
97482,9836.000000,17935.000000
98825,9913.000000,17918.000000
77045,9999.000000,17941.000000
35669,10088.000000,17940.000000
110541,10111.000000,17762.000000
17402,9985.000000,17822.000000
80443,9936.000000,17849.000000
57981,9810.000000,17762.000000
112945,9826.000000,17799.000000
9364,9831.000000,17591.000000
40015,9742.000000,17684.000000
44033,9670.000000,17672.000000
1659,9739.000000,17764.000000
76768,9703.000000,17810.000000
48906,9700.000000,17768.000000
15606,9640.000000,17806.000000
5197,9626.000000,17678.000000
105882,9548.000000,17763.000000
1426,9395.000000,17772.000000
20634,9174.000000,17684.000000
29284,9024.000000,17680.000000
82778,8986.000000,17691.000000
37829,8980.000000,17805.000000
67133,8979.000000,17957.000000
76219,8964.000000,17990.000000
6276,9032.000000,17960.000000
38721,9061.000000,17929.000000
51776,9115.000000,17951.000000
87650,9072.000000,18071.000000
97915,8981.000000,18089.000000
113901,9032.000000,18165.000000
38666,9110.000000,18140.000000
43251,9128.000000,18198.000000
9450,9144.000000,18280.000000
60986,9101.000000,18457.000000
54459,9212.000000,18481.000000
68432,9231.000000,18445.000000
110358,9232.000000,18321.000000
78094,9176.000000,18276.000000
48370,9206.000000,18301.000000
105207,9297.000000,18325.000000
97465,9335.000000,18344.000000
119350,9369.000000,18283.000000
47404,9373.000000,18361.000000
18546,9446.000000,18431.000000
53942,9519.000000,18452.000000
70447,9557.000000,18502.000000
14389,9608.000000,18450.000000
118818,9526.000000,18344.000000
75430,9578.000000,18299.000000
32024,9654.000000,18331.000000
61925,9680.000000,18364.000000
3637,9729.000000,18398.000000
23171,9672.000000,18435.000000
41658,9639.000000,18422.000000
6884,9881.000000,18704.000000
90160,9714.000000,18530.000000
87640,9737.000000,18566.000000
17387,9869.000000,18574.000000
41887,10020.000000,18594.000000
24507,9961.000000,18659.000000
8842,10070.000000,18685.000000
25362,10089.000000,18771.000000
98972,10140.000000,18691.000000
103627,10300.000000,18798.000000
86903,10283.000000,18861.000000
65923,10332.000000,18991.000000
97013,10367.000000,19047.000000
10684,10416.000000,18966.000000
61186,10462.000000,19034.000000
47105,10438.000000,19148.000000
60090,10276.000000,19158.000000
18058,10221.000000,19095.000000
11433,10176.000000,19045.000000
61208,10106.000000,19032.000000
60567,10150.000000,19202.000000
33711,10229.000000,19285.000000
66013,9930.000000,19390.000000
63713,10097.000000,19479.000000
22420,9981.000000,19405.000000
90528,10092.000000,19327.000000
67709,10032.000000,19282.000000
52526,10080.000000,19245.000000
107581,9946.000000,19107.000000
53624,9819.000000,19010.000000
75643,9748.000000,18862.000000
66663,9644.000000,18855.000000
24835,9713.000000,18787.000000
48894,9670.000000,18633.000000
54749,9625.000000,18630.000000
32801,9573.000000,18628.000000
44988,9547.000000,18667.000000
76378,9488.000000,18499.000000
94755,9439.000000,18589.000000
30851,9425.000000,18556.000000
104210,9387.000000,18482.000000
73127,9355.000000,18693.000000
71200,9581.000000,18699.000000
16731,9575.000000,18786.000000
108044,9541.000000,18818.000000
28821,9478.000000,18991.000000
45023,9466.000000,19062.000000
27933,9563.000000,19005.000000
117577,9754.000000,19059.000000
17638,9802.000000,19161.000000
12868,9768.000000,19229.000000
117833,9868.000000,19311.000000
10777,9810.000000,19400.000000
31888,9643.000000,19431.000000
661,9570.000000,19446.000000
7581,9734.000000,19622.000000
29292,9894.000000,19632.000000
112465,9979.000000,19744.000000
19797,9996.000000,19839.000000
64099,10088.000000,19832.000000
80060,10136.000000,19875.000000
79520,10106.000000,19930.000000
83308,9930.000000,19957.000000
78729,9879.000000,19924.000000
10539,9806.000000,19857.000000
63164,9717.000000,19956.000000
29901,9655.000000,19971.000000
44290,9578.000000,19962.000000
91389,9600.000000,19893.000000
11550,9621.000000,19830.000000
8651,9692.000000,19721.000000
11617,9692.000000,19833.000000
36653,9752.000000,19693.000000
49448,9656.000000,19778.000000
27852,9468.000000,19775.000000
75420,9495.000000,19970.000000
114401,9517.000000,19891.000000
96051,9362.000000,19973.000000
54442,9222.000000,19976.000000
96575,9069.000000,19955.000000
20199,8782.000000,19545.000000
55807,8872.000000,19558.000000
63089,9036.000000,19549.000000
79637,9304.000000,19610.000000
1280,9354.000000,19676.000000
62343,9481.000000,19547.000000
43820,9348.000000,19454.000000
94179,9283.000000,19396.000000
11441,9428.000000,19384.000000
53373,9408.000000,19241.000000
5662,9248.000000,19156.000000
9250,9208.000000,19215.000000
83506,9105.000000,19160.000000
27929,9131.000000,19214.000000
19638,9216.000000,19089.000000
88383,9434.000000,19127.000000
47886,9541.000000,19167.000000
83271,9714.000000,19223.000000
115922,9614.000000,19287.000000
56399,9655.000000,19323.000000
58196,9704.000000,19398.000000
90972,9877.000000,19451.000000
55103,9828.000000,19484.000000
87532,9794.000000,19556.000000
52420,9833.000000,19721.000000
35315,9874.000000,19813.000000
94286,9991.000000,19622.000000
59268,9935.000000,19472.000000
42737,9996.000000,19477.000000
14739,10071.000000,19610.000000
39979,10169.000000,19726.000000
22511,10243.000000,19664.000000
4054,10308.000000,19731.000000
55381,10249.000000,19766.000000
6830,10229.000000,19876.000000
8328,10430.000000,19920.000000
19176,10613.000000,19974.000000
117262,10800.000000,19915.000000
82771,10841.000000,19740.000000
28206,10929.000000,19757.000000
96648,10994.000000,19592.000000
31553,10881.000000,19666.000000
93188,10797.000000,19662.000000
36138,10716.000000,19689.000000
60822,10822.000000,19600.000000
94655,10796.000000,19377.000000
28017,10563.000000,19377.000000
83763,10496.000000,19224.000000
7323,10693.000000,19125.000000
63880,10742.000000,19065.000000
14081,10779.000000,19243.000000
10476,10785.000000,19308.000000
56003,10860.000000,19259.000000
106124,10830.000000,19044.000000
86872,10727.000000,18989.000000
16958,10850.000000,18958.000000
88710,10739.000000,18878.000000
78725,10704.000000,18926.000000
35031,10594.000000,18797.000000
30147,10568.000000,18693.000000
80553,10525.000000,18656.000000
13960,10629.000000,18628.000000
55482,10664.000000,18624.000000
4746,10721.000000,18724.000000
70858,10739.000000,18785.000000
101398,10765.000000,18742.000000
108831,10853.000000,18771.000000
65174,10893.000000,18691.000000
2914,11051.000000,18757.000000
84119,11057.000000,18819.000000
24907,11097.000000,18943.000000
106369,11021.000000,19027.000000
29880,10988.000000,19106.000000
40881,11004.000000,19179.000000
16635,11021.000000,19247.000000
10270,11115.000000,19233.000000
32153,11129.000000,19313.000000
105703,11195.000000,19460.000000
48611,11249.000000,19472.000000
31990,11269.000000,19533.000000
53150,11062.000000,19675.000000
27834,11171.000000,19838.000000
58107,11206.000000,19974.000000
49872,11267.000000,19717.000000
80462,11304.000000,19787.000000
33514,11318.000000,19927.000000
57229,11395.000000,19922.000000
4722,11417.000000,19745.000000
25058,11472.000000,19549.000000
122,11428.000000,19504.000000
4845,11352.000000,19287.000000
14439,11241.000000,19182.000000
75663,11208.000000,19111.000000
99782,11167.000000,18899.000000
48491,11176.000000,18690.000000
38288,11289.000000,18753.000000
71365,11328.000000,18940.000000
91581,11391.000000,18989.000000
5354,11634.000000,18950.000000
2335,11670.000000,19065.000000
68950,11768.000000,19208.000000
99181,11897.000000,19276.000000
54516,12088.000000,19418.000000
35603,12493.000000,19620.000000
77729,12577.000000,19329.000000
86513,12819.000000,19478.000000
53304,12514.000000,19194.000000
9016,12508.000000,19129.000000
49437,12597.000000,19156.000000
23246,12810.000000,19127.000000
92229,12958.000000,19216.000000
75742,13258.000000,19247.000000
78277,13484.000000,19246.000000
22466,13269.000000,19105.000000
91110,13059.000000,18873.000000
68107,12862.000000,18924.000000
107466,12650.000000,19072.000000
40531,12577.000000,18998.000000
49858,12608.000000,18938.000000
21753,12550.000000,18929.000000
61486,12426.000000,18979.000000
37463,12442.000000,19105.000000
35202,12247.000000,19176.000000
12601,11857.000000,19066.000000
103914,11977.000000,18875.000000
