location,coordinate_x,coordinate_y
0,0.000000,10.000000
1,0.000000,123.000000
2,0.000000,124.000000
3,0.000000,125.000000
4,0.000000,126.000000
5,0.000000,129.000000
6,0.000000,13.000000
7,0.000000,132.000000
8,0.000000,135.000000
9,0.000000,138.000000
10,0.000000,141.000000
11,0.000000,144.000000
12,0.000000,147.000000
13,0.000000,15.000000
14,0.000000,150.000000
15,0.000000,153.000000
16,0.000000,156.000000
17,0.000000,159.000000
18,0.000000,16.000000
19,0.000000,162.000000
20,0.000000,165.000000
21,0.000000,168.000000
22,0.000000,17.000000
23,0.000000,170.000000
24,0.000000,171.000000
25,0.000000,172.000000
26,0.000000,173.000000
27,0.000000,174.000000
28,0.000000,177.000000
29,0.000000,18.000000
30,0.000000,180.000000
31,0.000000,183.000000
32,0.000000,186.000000
33,0.000000,189.000000
34,0.000000,19.000000
35,0.000000,192.000000
36,0.000000,195.000000
37,0.000000,198.000000
38,0.000000,201.000000
39,0.000000,204.000000
40,0.000000,207.000000
41,0.000000,210.000000
42,0.000000,213.000000
43,0.000000,216.000000
44,0.000000,219.000000
45,0.000000,22.000000
46,0.000000,222.000000
47,0.000000,225.000000
48,0.000000,228.000000
49,0.000000,231.000000
50,0.000000,234.000000
51,0.000000,237.000000
52,0.000000,240.000000
53,0.000000,243.000000
54,0.000000,246.000000
55,0.000000,249.000000
56,0.000000,25.000000
57,0.000000,252.000000
58,0.000000,255.000000
59,0.000000,258.000000
60,0.000000,261.000000
61,0.000000,264.000000
62,0.000000,267.000000
63,0.000000,270.000000
64,0.000000,273.000000
65,0.000000,276.000000
66,0.000000,279.000000
67,0.000000,28.000000
68,0.000000,282.000000
69,0.000000,285.000000
70,0.000000,288.000000
71,0.000000,291.000000
72,0.000000,294.000000
73,0.000000,297.000000
74,0.000000,300.000000
75,0.000000,303.000000
76,0.000000,306.000000
77,0.000000,309.000000
78,0.000000,31.000000
79,0.000000,312.000000
80,0.000000,315.000000
81,0.000000,318.000000
82,0.000000,321.000000
83,0.000000,324.000000
84,0.000000,327.000000
85,0.000000,333.000000
86,0.000000,336.000000
87,0.000000,339.000000
88,0.000000,34.000000
89,0.000000,342.000000
90,0.000000,345.000000
91,0.000000,348.000000
92,0.000000,351.000000
93,0.000000,357.000000
94,0.000000,360.000000
95,0.000000,363.000000
96,0.000000,366.000000
97,0.000000,369.000000
98,0.000000,37.000000
99,0.000000,372.000000
100,0.000000,375.000000
101,0.000000,4.000000
102,0.000000,40.000000
103,0.000000,43.000000
104,0.000000,46.000000
105,0.000000,49.000000
106,0.000000,52.000000
107,0.000000,55.000000
108,0.000000,58.000000
109,0.000000,61.000000
110,0.000000,64.000000
111,0.000000,67.000000
112,0.000000,7.000000
113,0.000000,75.000000
114,2.000000,100.000000
115,2.000000,102.000000
116,2.000000,104.000000
117,2.000000,107.000000
118,2.000000,109.000000
119,2.000000,110.000000
120,2.000000,114.000000
121,2.000000,116.000000
122,2.000000,119.000000
123,2.000000,121.000000
124,2.000000,123.000000
125,2.000000,125.000000
126,2.000000,127.000000
127,2.000000,128.000000
128,2.000000,13.000000
129,2.000000,131.000000
130,2.000000,138.000000
131,2.000000,140.000000
132,2.000000,143.000000
133,2.000000,144.000000
134,2.000000,145.000000
135,2.000000,149.000000
136,2.000000,15.000000
137,2.000000,158.000000
138,2.000000,160.000000
139,2.000000,162.000000
140,2.000000,164.000000
141,2.000000,165.000000
142,2.000000,167.000000
143,2.000000,168.000000
144,2.000000,173.000000
145,2.000000,175.000000
146,2.000000,181.000000
147,2.000000,187.000000
148,2.000000,188.000000
149,2.000000,19.000000
150,2.000000,191.000000
151,2.000000,193.000000
152,2.000000,194.000000
153,2.000000,195.000000
154,2.000000,199.000000
155,2.000000,200.000000
156,2.000000,202.000000
157,2.000000,205.000000
158,2.000000,206.000000
159,2.000000,209.000000
160,2.000000,211.000000
161,2.000000,212.000000
162,2.000000,213.000000
163,2.000000,217.000000
164,2.000000,218.000000
165,2.000000,220.000000
166,2.000000,234.000000
167,2.000000,24.000000
168,2.000000,242.000000
169,2.000000,243.000000
170,2.000000,246.000000
171,2.000000,248.000000
172,2.000000,249.000000
173,2.000000,257.000000
174,2.000000,258.000000
175,2.000000,260.000000
176,2.000000,261.000000
177,2.000000,266.000000
178,2.000000,267.000000
179,2.000000,272.000000
180,2.000000,273.000000
181,2.000000,275.000000
182,2.000000,276.000000
183,2.000000,279.000000
184,2.000000,281.000000
185,2.000000,282.000000
186,2.000000,287.000000
187,2.000000,288.000000
188,2.000000,291.000000
189,2.000000,293.000000
190,2.000000,295.000000
191,2.000000,305.000000
192,2.000000,306.000000
193,2.000000,308.000000
194,2.000000,310.000000
195,2.000000,312.000000
196,2.000000,315.000000
197,2.000000,317.000000
198,2.000000,320.000000
199,2.000000,322.000000
200,2.000000,324.000000
201,2.000000,326.000000
202,2.000000,328.000000
203,2.000000,341.000000
204,2.000000,343.000000
205,2.000000,348.000000
206,2.000000,350.000000
207,2.000000,352.000000
208,2.000000,356.000000
209,2.000000,358.000000
210,2.000000,360.000000
211,2.000000,362.000000
212,2.000000,365.000000
213,2.000000,373.000000
214,2.000000,42.000000
215,2.000000,54.000000
216,2.000000,55.000000
217,2.000000,57.000000
218,2.000000,58.000000
219,2.000000,62.000000
220,2.000000,84.000000
221,2.000000,93.000000
222,2.000000,94.000000
223,2.000000,98.000000
224,5.000000,103.000000
225,5.000000,107.000000
226,5.000000,115.000000
227,5.000000,119.000000
228,5.000000,122.000000
229,5.000000,127.000000
230,5.000000,129.000000
231,5.000000,131.000000
232,5.000000,136.000000
233,5.000000,139.000000
234,5.000000,150.000000
235,5.000000,154.000000
236,5.000000,159.000000
237,5.000000,164.000000
238,5.000000,167.000000
239,5.000000,171.000000
240,5.000000,174.000000
241,5.000000,181.000000
242,5.000000,19.000000
243,5.000000,21.000000
244,5.000000,224.000000
245,5.000000,227.000000
246,5.000000,231.000000
247,5.000000,252.000000
248,5.000000,254.000000
249,5.000000,264.000000
250,5.000000,271.000000
251,5.000000,285.000000
252,5.000000,291.000000
253,5.000000,293.000000
254,5.000000,295.000000
255,5.000000,297.000000
256,5.000000,300.000000
257,5.000000,304.000000
258,5.000000,310.000000
259,5.000000,316.000000
260,5.000000,320.000000
261,5.000000,323.000000
262,5.000000,327.000000
263,5.000000,332.000000
264,5.000000,334.000000
265,5.000000,337.000000
266,5.000000,339.000000
267,5.000000,342.000000
268,5.000000,346.000000
269,5.000000,348.000000
270,5.000000,350.000000
271,5.000000,352.000000
272,5.000000,354.000000
273,5.000000,357.000000
274,5.000000,361.000000
275,5.000000,365.000000
276,5.000000,367.000000
277,5.000000,42.000000
278,5.000000,44.000000
279,5.000000,47.000000
280,5.000000,51.000000
281,5.000000,8.000000
282,5.000000,89.000000
283,5.000000,99.000000
284,8.000000,177.000000
285,8.000000,183.000000
286,9.000000,113.000000
287,9.000000,120.000000
288,9.000000,125.000000
289,9.000000,137.000000
290,9.000000,157.000000
291,9.000000,162.000000
292,9.000000,165.000000
293,9.000000,168.000000
294,9.000000,172.000000
295,9.000000,177.000000
296,9.000000,183.000000
297,9.000000,308.000000
298,9.000000,314.000000
299,9.000000,321.000000
300,9.000000,343.000000
301,9.000000,355.000000
302,9.000000,97.000000
303,10.000000,113.000000
304,10.000000,120.000000
305,10.000000,125.000000
306,10.000000,128.000000
307,10.000000,130.000000
308,10.000000,137.000000
309,10.000000,149.000000
310,10.000000,157.000000
311,10.000000,162.000000
312,10.000000,165.000000
313,10.000000,168.000000
314,10.000000,172.000000
315,10.000000,177.000000
316,10.000000,18.000000
317,10.000000,183.000000
318,10.000000,22.000000
319,10.000000,233.000000
320,10.000000,290.000000
321,10.000000,308.000000
322,10.000000,314.000000
323,10.000000,321.000000
324,10.000000,341.000000
325,10.000000,343.000000
326,10.000000,347.000000
327,10.000000,355.000000
328,10.000000,364.000000
329,10.000000,41.000000
330,10.000000,60.000000
331,10.000000,97.000000
332,11.000000,113.000000
333,11.000000,120.000000
334,11.000000,125.000000
335,11.000000,128.000000
336,11.000000,130.000000
337,11.000000,137.000000
338,11.000000,149.000000
339,11.000000,157.000000
340,11.000000,162.000000
341,11.000000,165.000000
342,11.000000,168.000000
343,11.000000,172.000000
344,11.000000,177.000000
345,11.000000,18.000000
346,11.000000,184.000000
347,11.000000,22.000000
348,11.000000,222.000000
349,11.000000,225.000000
350,11.000000,233.000000
351,11.000000,251.000000
352,11.000000,263.000000
353,11.000000,269.000000
354,11.000000,284.000000
355,11.000000,290.000000
356,11.000000,298.000000
357,11.000000,308.000000
358,11.000000,314.000000
359,11.000000,321.000000
360,11.000000,330.000000
361,11.000000,333.000000
362,11.000000,336.000000
363,11.000000,341.000000
364,11.000000,343.000000
365,11.000000,347.000000
366,11.000000,355.000000
367,11.000000,364.000000
368,11.000000,41.000000
369,11.000000,45.000000
370,11.000000,60.000000
371,11.000000,87.000000
372,11.000000,9.000000
373,11.000000,97.000000
374,12.000000,133.000000
375,12.000000,151.000000
376,12.000000,168.000000
377,12.000000,177.000000
378,12.000000,301.000000
379,12.000000,343.000000
380,12.000000,5.000000
381,15.000000,129.000000
382,15.000000,131.000000
383,15.000000,136.000000
384,15.000000,150.000000
385,15.000000,154.000000
386,15.000000,171.000000
387,15.000000,19.000000
388,15.000000,21.000000
389,15.000000,252.000000
390,15.000000,254.000000
391,15.000000,264.000000
392,15.000000,285.000000
393,15.000000,291.000000
394,15.000000,293.000000
395,15.000000,295.000000
396,15.000000,297.000000
397,15.000000,304.000000
398,15.000000,334.000000
399,15.000000,337.000000
400,15.000000,339.000000
401,15.000000,342.000000
402,15.000000,346.000000
403,15.000000,348.000000
404,15.000000,350.000000
405,15.000000,352.000000
406,15.000000,354.000000
407,15.000000,365.000000
408,15.000000,367.000000
409,15.000000,42.000000
410,15.000000,44.000000
411,15.000000,8.000000
412,17.000000,109.000000
413,17.000000,110.000000
414,17.000000,144.000000
415,17.000000,193.000000
416,17.000000,194.000000
417,17.000000,200.000000
418,17.000000,202.000000
419,17.000000,211.000000
420,17.000000,212.000000
421,17.000000,218.000000
422,17.000000,220.000000
423,17.000000,243.000000
424,17.000000,246.000000
425,17.000000,249.000000
426,17.000000,258.000000
